Current Standard Occupation Code|Current Job Title|Match Standard Occupation Code|Match Job Title|Match Rank|Base Employment|Total Job Openings|Median Hourly Wage|Median Annual Wage|Entry Level Education|Work Experience|Job Training|Location
47-2152.02|Plumbers|49-9051|Electrical Power-Line Installers and Repairers|7|730|630|44.6|92774|High school diploma or equivalent|None|Long-term on-the-job training|Kern
51-4121.06|Welders, Cutters, and Welder Fitters|51-4072|Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic|5|670|690|18.83|39152|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-9111.00|Packaging and Filling Machine Operators and Tenders|51-4072|Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic|7|670|690|18.83|39152|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
47-2073.00|Operating Engineers and Other Construction Equipment Operators|49-9012|Control and Valve Installers and Repairers, Except Mechanical Door|7|660|650|28.47|59215|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
47-2152.02|Plumbers|49-9012|Control and Valve Installers and Repairers, Except Mechanical Door|10|660|650|28.47|59215|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
49-3031.00|Bus and Truck Mechanics and Diesel Engine Specialists|49-9012|Control and Valve Installers and Repairers, Except Mechanical Door|3|660|650|28.47|59215|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
49-9071.00|Maintenance and Repair Workers, General|49-9012|Control and Valve Installers and Repairers, Except Mechanical Door|7|660|650|28.47|59215|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-8013.00|Power Plant Operators|49-9012|Control and Valve Installers and Repairers, Except Mechanical Door|7|660|650|28.47|59215|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-8092.00|Gas Plant Operators|49-9012|Control and Valve Installers and Repairers, Except Mechanical Door|4|660|650|28.47|59215|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
53-7073.00|Wellhead Pumpers|49-9012|Control and Valve Installers and Repairers, Except Mechanical Door|6|660|650|28.47|59215|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
47-5081.00|Helpers--Extraction Workers|51-9121|Coating, Painting, and Spraying Machine Setters, Operators, and Tenders|7|640|750|0|0|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-4121.07|Solderers and Brazers|51-9121|Coating, Painting, and Spraying Machine Setters, Operators, and Tenders|4|640|750|0|0|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-9023.00|Mixing and Blending Machine Setters, Operators, and Tenders|51-9121|Coating, Painting, and Spraying Machine Setters, Operators, and Tenders|4|640|750|0|0|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-9111.00|Packaging and Filling Machine Operators and Tenders|51-9121|Coating, Painting, and Spraying Machine Setters, Operators, and Tenders|3|640|750|0|0|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-1011.00|First-Line Supervisors of Production and Operating Workers|51-9021|Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders|8|570|670|20.36|42339|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-8091.00|Chemical Plant and System Operators|51-9021|Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders|6|570|670|20.36|42339|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-9023.00|Mixing and Blending Machine Setters, Operators, and Tenders|51-9021|Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders|3|570|670|20.36|42339|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-4121.06|Welders, Cutters, and Welder Fitters|51-7042|Woodworking Machine Setters, Operators, and Tenders, Except Sawing|9|550|750|15.78|32807|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-8092.00|Gas Plant Operators|51-8013|Power Plant Operators|3|550|750|15.78|32807|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-8093.00|Petroleum Pump System Operators, Refinery Operators, and Gaugers|51-8013|Power Plant Operators|10|550|750|15.78|32807|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
47-2073.00|Operating Engineers and Other Construction Equipment Operators|47-4051|Highway Maintenance Workers|5|530|630|22.99|47815|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
47-5011.00|Derrick Operators, Oil and Gas|37-3013|Tree Trimmers and Pruners|10|530|770|24.8|51579|High school diploma or equivalent|None|Short-term on-the-job training|Kern
47-5012.00|Rotary Drill Operators, Oil and Gas|37-3013|Tree Trimmers and Pruners|3|530|770|24.8|51579|High school diploma or equivalent|None|Short-term on-the-job training|Kern
47-5013.00|Service Unit Operators, Oil, Gas, and Mining|37-3013|Tree Trimmers and Pruners|3|530|770|24.8|51579|High school diploma or equivalent|None|Short-term on-the-job training|Kern
53-3032.00|Heavy and Tractor-Trailer Truck Drivers|47-4051|Highway Maintenance Workers|1|530|630|22.99|47815|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
47-5011.00|Derrick Operators, Oil and Gas|47-5071|Roustabouts, Oil and Gas|1|520|790|17.46|36318|No formal educational credential|None|Moderate-term on-the-job training|Kern
47-5012.00|Rotary Drill Operators, Oil and Gas|47-5081|Helpers--Extraction Workers|2|520|770|24.11|50145|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
47-5013.00|Service Unit Operators, Oil, Gas, and Mining|47-5081|Helpers--Extraction Workers|7|520|770|24.11|50145|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
53-7121.00|Tank Car, Truck, and Ship Loaders|47-5081|Helpers--Extraction Workers|2|520|770|24.11|50145|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
47-2111.00|Electricians|49-2094|Electrical and Electronics Repairers, Commercial and Industrial Equipment|8|500|510|33.66|70018|Postsecondary non-degree award|None|Long-term on-the-job training|Kern
49-9012.00|Control and Valve Installers and Repairers, Except Mechanical Door|49-2098|Security and Fire Alarm Systems Installers|6|500|630|22.77|47352|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
49-9041.00|Industrial Machinery Mechanics|49-2094|Electrical and Electronics Repairers, Commercial and Industrial Equipment|6|500|510|33.66|70018|Postsecondary non-degree award|None|Long-term on-the-job training|Kern
51-4121.06|Welders, Cutters, and Welder Fitters|51-7041|Sawing Machine Setters, Operators, and Tenders, Wood|1|500|550|15.71|32669|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-4121.07|Solderers and Brazers|51-7041|Sawing Machine Setters, Operators, and Tenders, Wood|3|500|550|15.71|32669|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-4121.07|Solderers and Brazers|51-9041|Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders|8|500|560|19.04|39613|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-8013.00|Power Plant Operators|49-2094|Electrical and Electronics Repairers, Commercial and Industrial Equipment|5|500|510|33.66|70018|Postsecondary non-degree award|None|Long-term on-the-job training|Kern
51-8092.00|Gas Plant Operators|49-2094|Electrical and Electronics Repairers, Commercial and Industrial Equipment|7|500|510|33.66|70018|Postsecondary non-degree award|None|Long-term on-the-job training|Kern
51-9111.00|Packaging and Filling Machine Operators and Tenders|51-7041|Sawing Machine Setters, Operators, and Tenders, Wood|5|500|550|15.71|32669|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-9111.00|Packaging and Filling Machine Operators and Tenders|51-9041|Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders|6|500|560|19.04|39613|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-9198.00|Helpers--Production Workers|51-7041|Sawing Machine Setters, Operators, and Tenders, Wood|9|500|550|15.71|32669|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
53-7051.00|Industrial Truck and Tractor Operators|51-7041|Sawing Machine Setters, Operators, and Tenders, Wood|1|500|550|15.71|32669|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
53-7062.00|Laborers and Freight, Stock, and Material Movers, Hand|51-7041|Sawing Machine Setters, Operators, and Tenders, Wood|6|500|550|15.71|32669|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-8013.00|Power Plant Operators|51-8093|Petroleum Pump System Operators, Refinery Operators, and Gaugers|8|490|500|36.98|76908|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-8091.00|Chemical Plant and System Operators|51-8093|Petroleum Pump System Operators, Refinery Operators, and Gaugers|3|490|500|36.98|76908|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-8092.00|Gas Plant Operators|51-8093|Petroleum Pump System Operators, Refinery Operators, and Gaugers|9|490|500|36.98|76908|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-9011.00|Chemical Equipment Operators and Tenders|51-8093|Petroleum Pump System Operators, Refinery Operators, and Gaugers|2|490|500|36.98|76908|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
53-7121.00|Tank Car, Truck, and Ship Loaders|51-8093|Petroleum Pump System Operators, Refinery Operators, and Gaugers|10|490|500|36.98|76908|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
47-2073.00|Operating Engineers and Other Construction Equipment Operators|53-7021|Crane and Tower Operators|1|470|620|33.84|70403|High school diploma or equivalent|Less than 5 years|Moderate-term on-the-job training|Kern
51-8013.00|Power Plant Operators|19-4051|Nuclear Equipment Operation Technicians|3|460|470|0|0|Associate's degree|None|Moderate-term on-the-job training|Kern
47-5012.00|Rotary Drill Operators, Oil and Gas|47-5011|Derrick Operators, Oil and Gas|9|450|680|25.64|53332|No formal educational credential|None|Short-term on-the-job training|Kern
47-5071.00|Roustabouts, Oil and Gas|47-5011|Derrick Operators, Oil and Gas|2|450|680|25.64|53332|No formal educational credential|None|Short-term on-the-job training|Kern
51-4041.00|Machinists|51-4011|Computer-Controlled Machine Tool Operators, Metal and Plastic|5|430|440|0|0|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-4121.07|Solderers and Brazers|51-5113|Print Binding and Finishing Workers|2|400|440|16.29|33888|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-9061.00|Inspectors, Testers, Sorters, Samplers, and Weighers|51-5113|Print Binding and Finishing Workers|1|400|440|16.29|33888|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-9111.00|Packaging and Filling Machine Operators and Tenders|51-5113|Print Binding and Finishing Workers|10|400|440|16.29|33888|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
53-7051.00|Industrial Truck and Tractor Operators|51-5113|Print Binding and Finishing Workers|4|400|440|16.29|33888|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
53-7062.00|Laborers and Freight, Stock, and Material Movers, Hand|51-5113|Print Binding and Finishing Workers|9|400|440|16.29|33888|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
47-1011.00|First-Line Supervisors of Construction Trades and Extraction Workers|17-3031|Surveying Technicians|10|390|500|30.65|63756|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
47-2073.00|Operating Engineers and Other Construction Equipment Operators|53-7032|Excavating and Loading Machine and Dragline Operators|2|370|520|0|0|High school diploma or equivalent|Less than 5 years|Moderate-term on-the-job training|Kern
47-2073.00|Operating Engineers and Other Construction Equipment Operators|53-7033|Loading Machine Operators, Underground Mining|6|370|520|0|0|High school diploma or equivalent|Less than 5 years|Moderate-term on-the-job training|Kern
47-5011.00|Derrick Operators, Oil and Gas|47-3011|Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters|2|370|620|17.76|36936|No formal educational credential|None|Short-term on-the-job training|Kern
47-5013.00|Service Unit Operators, Oil, Gas, and Mining|53-7032|Excavating and Loading Machine and Dragline Operators|10|370|520|0|0|High school diploma or equivalent|Less than 5 years|Moderate-term on-the-job training|Kern
47-5071.00|Roustabouts, Oil and Gas|47-3011|Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters|1|370|620|17.76|36936|No formal educational credential|None|Short-term on-the-job training|Kern
47-5081.00|Helpers--Extraction Workers|53-7041|Hoist and Winch Operators|3|370|520|0|0|High school diploma or equivalent|Less than 5 years|Moderate-term on-the-job training|Kern
47-5081.00|Helpers--Extraction Workers|53-7032|Excavating and Loading Machine and Dragline Operators|10|370|520|0|0|High school diploma or equivalent|Less than 5 years|Moderate-term on-the-job training|Kern
53-3032.00|Heavy and Tractor-Trailer Truck Drivers|53-7032|Excavating and Loading Machine and Dragline Operators|2|370|520|0|0|High school diploma or equivalent|Less than 5 years|Moderate-term on-the-job training|Kern
53-7051.00|Industrial Truck and Tractor Operators|53-7032|Excavating and Loading Machine and Dragline Operators|10|370|520|0|0|High school diploma or equivalent|Less than 5 years|Moderate-term on-the-job training|Kern
53-7073.00|Wellhead Pumpers|53-7032|Excavating and Loading Machine and Dragline Operators|8|370|520|0|0|High school diploma or equivalent|Less than 5 years|Moderate-term on-the-job training|Kern
47-2073.00|Operating Engineers and Other Construction Equipment Operators|47-2071|Paving, Surfacing, and Tamping Equipment Operators|3|350|470|32.03|66618|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
47-2073.00|Operating Engineers and Other Construction Equipment Operators|47-2072|Pile-Driver Operators|4|350|470|32.03|66618|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
47-5011.00|Derrick Operators, Oil and Gas|47-2072|Pile-Driver Operators|7|350|470|32.03|66618|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
47-5071.00|Roustabouts, Oil and Gas|47-2071|Paving, Surfacing, and Tamping Equipment Operators|7|350|470|32.03|66618|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
53-3032.00|Heavy and Tractor-Trailer Truck Drivers|47-2071|Paving, Surfacing, and Tamping Equipment Operators|4|350|470|32.03|66618|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
53-3032.00|Heavy and Tractor-Trailer Truck Drivers|47-2072|Pile-Driver Operators|8|350|470|32.03|66618|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
53-7073.00|Wellhead Pumpers|47-2072|Pile-Driver Operators|3|350|470|32.03|66618|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-9198.00|Helpers--Production Workers|51-6031|Sewing Machine Operators|7|340|430|15.39|32003|No formal educational credential|None|Short-term on-the-job training|Kern
47-5013.00|Service Unit Operators, Oil, Gas, and Mining|53-4021|Railroad Brake, Signal, and Switch Operators|6|320|600|22.7|47200|No formal educational credential|None|Short-term on-the-job training|Kern
47-5081.00|Helpers--Extraction Workers|53-5011|Sailors and Marine Oilers|6|320|600|22.7|47200|No formal educational credential|None|Short-term on-the-job training|Kern
53-3032.00|Heavy and Tractor-Trailer Truck Drivers|53-4021|Railroad Brake, Signal, and Switch Operators|3|320|600|22.7|47200|No formal educational credential|None|Short-term on-the-job training|Kern
53-3032.00|Heavy and Tractor-Trailer Truck Drivers|53-4012|Locomotive Firers|5|320|600|22.7|47200|No formal educational credential|None|Short-term on-the-job training|Kern
53-3032.00|Heavy and Tractor-Trailer Truck Drivers|53-5011|Sailors and Marine Oilers|10|320|600|22.7|47200|No formal educational credential|None|Short-term on-the-job training|Kern
47-2152.01|Pipe Fitters and Steamfitters|49-9092|Commercial Divers|9|300|310|16.88|35123|High school diploma or equivalent|None|Short-term on-the-job training|Kern
47-2152.02|Plumbers|49-9092|Commercial Divers|6|300|310|16.88|35123|High school diploma or equivalent|None|Short-term on-the-job training|Kern
51-4121.06|Welders, Cutters, and Welder Fitters|51-4022|Forging Machine Setters, Operators, and Tenders, Metal and Plastic|6|300|360|17.55|36508|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-9061.00|Inspectors, Testers, Sorters, Samplers, and Weighers|51-4022|Forging Machine Setters, Operators, and Tenders, Metal and Plastic|10|300|360|17.55|36508|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-9111.00|Packaging and Filling Machine Operators and Tenders|51-4022|Forging Machine Setters, Operators, and Tenders, Metal and Plastic|9|300|360|17.55|36508|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-4041.00|Machinists|51-9195|Glass Blowers, Molders, Benders, and Finishers|8|290|360|18.3|38070|High school diploma or equivalent|None|Long-term on-the-job training|Kern
51-4121.06|Welders, Cutters, and Welder Fitters|51-9195|Molding and Casting Workers|8|290|360|18.3|38070|High school diploma or equivalent|None|Long-term on-the-job training|Kern
51-4121.07|Solderers and Brazers|51-9195|Molding and Casting Workers|5|290|360|18.3|38070|High school diploma or equivalent|None|Long-term on-the-job training|Kern
51-9023.00|Mixing and Blending Machine Setters, Operators, and Tenders|51-9195|Molding and Casting Workers|5|290|360|18.3|38070|High school diploma or equivalent|None|Long-term on-the-job training|Kern
51-9111.00|Packaging and Filling Machine Operators and Tenders|51-9195|Molding and Casting Workers|4|290|360|18.3|38070|High school diploma or equivalent|None|Long-term on-the-job training|Kern
51-9198.00|Helpers--Production Workers|51-9195|Molding and Casting Workers|10|290|360|18.3|38070|High school diploma or equivalent|None|Long-term on-the-job training|Kern
53-7051.00|Industrial Truck and Tractor Operators|51-9195|Molding and Casting Workers|3|290|360|18.3|38070|High school diploma or equivalent|None|Long-term on-the-job training|Kern
53-7062.00|Laborers and Freight, Stock, and Material Movers, Hand|51-9195|Molding and Casting Workers|4|290|360|18.3|38070|High school diploma or equivalent|None|Long-term on-the-job training|Kern
47-2111.00|Electricians|51-8021|Stationary Engineers and Boiler Operators|10|280|330|39.19|81510|High school diploma or equivalent|None|Long-term on-the-job training|Kern
49-1011.00|First-Line Supervisors of Mechanics, Installers, and Repairers|33-1021|Municipal Fire Fighting and Prevention Supervisors|3|280|200|50.23|104486|Postsecondary non-degree award|Less than 5 years|Moderate-term on-the-job training|Kern
49-1011.00|First-Line Supervisors of Mechanics, Installers, and Repairers|33-1021|Forest Fire Fighting and Prevention Supervisors|7|280|200|50.23|104486|Postsecondary non-degree award|Less than 5 years|Moderate-term on-the-job training|Kern
49-3031.00|Bus and Truck Mechanics and Diesel Engine Specialists|51-8021|Stationary Engineers and Boiler Operators|9|280|330|39.19|81510|High school diploma or equivalent|None|Long-term on-the-job training|Kern
49-9012.00|Control and Valve Installers and Repairers, Except Mechanical Door|51-8021|Stationary Engineers and Boiler Operators|4|280|330|39.19|81510|High school diploma or equivalent|None|Long-term on-the-job training|Kern
49-9041.00|Industrial Machinery Mechanics|51-8021|Stationary Engineers and Boiler Operators|8|280|330|39.19|81510|High school diploma or equivalent|None|Long-term on-the-job training|Kern
49-9071.00|Maintenance and Repair Workers, General|51-8021|Stationary Engineers and Boiler Operators|3|280|330|39.19|81510|High school diploma or equivalent|None|Long-term on-the-job training|Kern
51-8013.00|Power Plant Operators|51-8021|Stationary Engineers and Boiler Operators|2|280|330|39.19|81510|High school diploma or equivalent|None|Long-term on-the-job training|Kern
51-8092.00|Gas Plant Operators|51-8021|Stationary Engineers and Boiler Operators|1|280|330|39.19|81510|High school diploma or equivalent|None|Long-term on-the-job training|Kern
47-5012.00|Rotary Drill Operators, Oil and Gas|47-4041|Hazardous Materials Removal Workers|5|260|400|23.72|49353|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
49-3031.00|Bus and Truck Mechanics and Diesel Engine Specialists|53-6051|Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation|2|260|340|31.66|65858|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
49-9012.00|Control and Valve Installers and Repairers, Except Mechanical Door|53-6051|Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation|1|260|340|31.66|65858|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-8092.00|Gas Plant Operators|53-6051|Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation|8|260|340|31.66|65858|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-9011.00|Chemical Equipment Operators and Tenders|47-4041|Hazardous Materials Removal Workers|9|260|400|23.72|49353|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
53-7062.00|Laborers and Freight, Stock, and Material Movers, Hand|47-4031|Fence Erectors|3|260|360|22.52|46841|No formal educational credential|None|Moderate-term on-the-job training|Kern
53-7121.00|Tank Car, Truck, and Ship Loaders|47-4041|Hazardous Materials Removal Workers|3|260|400|23.72|49353|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
49-3031.00|Bus and Truck Mechanics and Diesel Engine Specialists|49-3092|Recreational Vehicle Service Technicians|10|250|320|22.31|46399|High school diploma or equivalent|None|Long-term on-the-job training|Kern
51-8091.00|Chemical Plant and System Operators|51-9011|Chemical Equipment Operators and Tenders|4|250|290|20.98|43657|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-8093.00|Petroleum Pump System Operators, Refinery Operators, and Gaugers|51-9011|Chemical Equipment Operators and Tenders|1|250|290|20.98|43657|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-9111.00|Packaging and Filling Machine Operators and Tenders|51-9191|Adhesive Bonding Machine Operators and Tenders|2|240|350|21.08|43846|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
53-7051.00|Industrial Truck and Tractor Operators|51-9191|Adhesive Bonding Machine Operators and Tenders|5|240|350|21.08|43846|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-8013.00|Power Plant Operators|53-7072|Pump Operators, Except Wellhead Pumpers|10|210|290|24.22|50366|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-8091.00|Chemical Plant and System Operators|53-7072|Pump Operators, Except Wellhead Pumpers|1|210|290|24.22|50366|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-8091.00|Chemical Plant and System Operators|51-9193|Cooling and Freezing Equipment Operators and Tenders|8|210|280|15.28|31787|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-8092.00|Gas Plant Operators|53-7072|Pump Operators, Except Wellhead Pumpers|6|210|290|24.22|50366|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-8093.00|Petroleum Pump System Operators, Refinery Operators, and Gaugers|53-7072|Pump Operators, Except Wellhead Pumpers|4|210|290|24.22|50366|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-8093.00|Petroleum Pump System Operators, Refinery Operators, and Gaugers|51-9193|Cooling and Freezing Equipment Operators and Tenders|8|210|280|15.28|31787|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-9011.00|Chemical Equipment Operators and Tenders|53-7072|Pump Operators, Except Wellhead Pumpers|4|210|290|24.22|50366|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-9023.00|Mixing and Blending Machine Setters, Operators, and Tenders|51-9193|Cooling and Freezing Equipment Operators and Tenders|10|210|280|15.28|31787|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
53-7073.00|Wellhead Pumpers|53-7072|Pump Operators, Except Wellhead Pumpers|4|210|290|24.22|50366|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
53-7073.00|Wellhead Pumpers|51-9193|Cooling and Freezing Equipment Operators and Tenders|9|210|280|15.28|31787|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
53-7121.00|Tank Car, Truck, and Ship Loaders|53-7072|Pump Operators, Except Wellhead Pumpers|4|210|290|24.22|50366|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-4121.06|Welders, Cutters, and Welder Fitters|51-4122|Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders|2|200|200|23.01|47867|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
49-3031.00|Bus and Truck Mechanics and Diesel Engine Specialists|49-3051|Motorboat Mechanics and Service Technicians|1|190|200|21.04|43781|High school diploma or equivalent|None|Long-term on-the-job training|Kern
49-9012.00|Control and Valve Installers and Repairers, Except Mechanical Door|49-3051|Motorboat Mechanics and Service Technicians|3|190|200|21.04|43781|High school diploma or equivalent|None|Long-term on-the-job training|Kern
49-9071.00|Maintenance and Repair Workers, General|49-3051|Motorboat Mechanics and Service Technicians|2|190|200|21.04|43781|High school diploma or equivalent|None|Long-term on-the-job training|Kern
49-9071.00|Maintenance and Repair Workers, General|49-3052|Motorcycle Mechanics|8|190|200|21.04|43781|High school diploma or equivalent|None|Long-term on-the-job training|Kern
51-4041.00|Machinists|51-4111|Tool and Die Makers|4|170|170|26.09|54264|Postsecondary non-degree award|None|Long-term on-the-job training|Kern
49-1011.00|First-Line Supervisors of Mechanics, Installers, and Repairers|17-3025|Environmental Engineering Technicians|9|160|170|26.87|55901|Associate's degree|None|None|Kern
49-9041.00|Industrial Machinery Mechanics|49-2092|Electric Motor, Power Tool, and Related Repairers|1|150|170|23.23|48308|High school diploma or equivalent|Less than 5 years|Moderate-term on-the-job training|Kern
49-9071.00|Maintenance and Repair Workers, General|49-2092|Electric Motor, Power Tool, and Related Repairers|6|150|170|23.23|48308|High school diploma or equivalent|Less than 5 years|Moderate-term on-the-job training|Kern
51-9061.00|Inspectors, Testers, Sorters, Samplers, and Weighers|51-2092|Team Assemblers|5|150|180|0|0|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
53-7062.00|Laborers and Freight, Stock, and Material Movers, Hand|43-5041|Meter Readers, Utilities|1|150|130|26.29|54675|High school diploma or equivalent|None|Short-term on-the-job training|Kern
47-5013.00|Service Unit Operators, Oil, Gas, and Mining|51-4023|Rolling Machine Setters, Operators, and Tenders, Metal and Plastic|9|140|110|18.15|37757|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-9011.00|Chemical Equipment Operators and Tenders|51-4023|Rolling Machine Setters, Operators, and Tenders, Metal and Plastic|5|140|110|18.15|37757|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-9061.00|Inspectors, Testers, Sorters, Samplers, and Weighers|51-6093|Upholsterers|7|140|140|18.75|38990|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-4121.07|Solderers and Brazers|51-2023|Electromechanical Equipment Assemblers|9|120|90|18.17|37791|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-9198.00|Helpers--Production Workers|51-2021|Coil Winders, Tapers, and Finishers|4|120|90|18.17|37791|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
53-7051.00|Industrial Truck and Tractor Operators|51-2021|Coil Winders, Tapers, and Finishers|7|120|90|18.17|37791|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
49-9012.00|Control and Valve Installers and Repairers, Except Mechanical Door|51-8092|Gas Plant Operators|7|110|100|29.01|60340|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-8013.00|Power Plant Operators|51-8092|Gas Plant Operators|1|110|100|29.01|60340|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-8091.00|Chemical Plant and System Operators|51-8092|Gas Plant Operators|9|110|100|29.01|60340|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-8093.00|Petroleum Pump System Operators, Refinery Operators, and Gaugers|51-8091|Chemical Plant and System Operators|3|110|100|29.01|60340|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-8093.00|Petroleum Pump System Operators, Refinery Operators, and Gaugers|51-8092|Gas Plant Operators|7|110|100|29.01|60340|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-9011.00|Chemical Equipment Operators and Tenders|51-8091|Chemical Plant and System Operators|3|110|100|29.01|60340|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-4041.00|Machinists|51-4035|Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic|2|100|80|0|0|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
51-4041.00|Machinists|51-4012|Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic|9|80|110|0|0|Postsecondary non-degree award|None|Moderate-term on-the-job training|Kern
51-4121.06|Welders, Cutters, and Welder Fitters|51-2031|Engine and Other Machine Assemblers|7|80|90|0|0|High school diploma or equivalent|None|Moderate-term on-the-job training|Kern
